공고명,링크,자격요건
합격보상금 100만원,https://www.wanted.co.kr/wd/307920,"기계/항공/로보틱스/재료공학 전공 학사 이상
드론, 로봇, 소형 전자기기 기구설계 경력 5년 이상
CAD/CAE 툴 숙련 (SolidWorks, CATIA, AutoDesk Inventor 등)
기구 설계 양산 전환 경험 보유자
경량화/내구성/공력 최적화 설계 경험
제조 협력사(사출, 가공, 3D프린팅 등) 커뮤니케이션 경험
상세 정보 더 보기
태그
50명이하
설립3년이하
건강검진지원
커피·스낵바
유망산업
스톡옵션
의료비지원
AI 선도 기업
유연근무
마감일
상시채용
근무지역
서울 강남구 봉은사로 435, 1층 102호(삼성동, 한국통신사업자연합회빌딩)
미러
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/337180,"∙ 경력: 신입~3년
∙ 근무지: 대구지사 (대구광역시 북구 노원로 77)
※필수: 운전면허 소지자 (운전 가능자)
상세 정보 더 보기
태그
식대지원
유망산업
50명이하
설립4~9년
커피·스낵바
리프레시휴가
유급휴가
자유로운휴가
보너스
인원 급성장
워크샵
스톡옵션
연봉상위11~20%
적극 채용 중
AI 선도 기업
누적투자100억이상
대규모 채용 중
마감일
상시채용
근무지역
서울시 강남구 역삼로 542 4층 빅웨이브로보틱스
빅웨이브로보틱스
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/337933,"• 마스오토가 만들고자 하는 것에 대한 이해가 있으신 분
• 전장/로보틱스/자동차 등 하드웨어 시스템에 대한 실무 경험 또는 관심
• 기본적인 하드웨어 및 소프트웨어 툴에 대한 이해
• 고객사와의 커뮤니케이션, 엔지니어와의 협업에 능숙한 분
• 빠르게 변화하는 환경에서 자율적으로 문제를 해결하고 실행하는 역량
• 스타트업 문화, 기술 중심 조직, 반복적 시도와 빠른 성장에 대한 이해와 열정
• 장기간 해외 출장이 가능한 분
• 운전 가능자
상세 정보 더 보기
태그
식대지원
50명이하
설립4~9년
연봉상위6~10%
인원 급성장
스톡옵션
AI 선도 기업
누적투자100억이상
유리한 지원 경쟁률
마감일
상시채용
근무지역
서울 강남구 역삼로17길 16
마스오토
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/334855,"• 학력: 무관
• 경력: 무관
• 해외여행에 결격사유가 없는자
• Robot / Mechanical Engineering 에 대한 전반적인 이해
• 정밀 기구 설계 경험
• Solidworks, NX 등 설계 Tool 경험
• 3D 설계 경험
상세 정보 더 보기
태그
유망산업
커피·스낵바
편의시설
자기계발지원
건강검진지원
사내동호회
50명이하
설립4~9년
인원 급성장
연봉상위11~20%
AI 선도 기업
누적투자100억이상
퓨처플레이 투자기업
마감일
상시채용
근무지역
서울특별시 종로구 대학로 60 동마루빌딩 2층
메디인테크
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/328624,"• 로봇공학, 제어공학, 메카트로닉스 석사 이상
• C/C++, ROS2, RTOS 실시간 제어 구현 경험
• 고자유도 로봇 제어 및 센서 융합 경험
상세 정보 더 보기
태그
50명이하
설립3년이하
인원 급성장
연봉상위6~10%
퇴사율5%이하
보너스
건강검진지원
자유로운휴가
누적투자100억이상
적극 채용 중
마감일
상시채용
근무지역
경기 용인시 수지구 광교중앙로 338, A동 616호
위로보틱스
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/323983,"아래 조건을 충족하시는 분을 찾고 있습니다.

• 학력: 초대졸 이상 (기계·전기전자·산업공학 등 관련 전공)
• 경력: 10년 미만
• 새로운 분야에 대한 학습 속도가 빠르고 문제를 유연하게 접근할 수 있는 실용적 사고 능력
상세 정보 더 보기
태그
출산휴가
자기계발지원
편의시설
육아휴직
보너스
50명이하
설립4~9년
인원 급성장
스톡옵션
연봉상위11~20%
누적투자100억이상
커피·스낵바
유연근무
마감일
상시채용
근무지역
서울 종로구 대학로 57, 14, 15층
엔도로보틱스
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/237190,"• 공사 경험있으신 분
• AutoCAD 활용가능하신 분
상세 정보 더 보기
기술 스택 • 툴
AutoCAD
태그
유망산업
커피·스낵바
장비지원
50명이하
설립3년이하
보너스
마감일
상시채용
근무지역
시공지
네토그린
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/338791,"∙ 경력: 3~5년
∙ 신입 지원가능
※필수: 운전면허 소지자 (운전 가능자)
상세 정보 더 보기
태그
식대지원
유망산업
50명이하
설립4~9년
커피·스낵바
리프레시휴가
유급휴가
자유로운휴가
보너스
인원 급성장
워크샵
스톡옵션
연봉상위11~20%
적극 채용 중
AI 선도 기업
누적투자100억이상
대규모 채용 중
유리한 지원 경쟁률
마감일
상시채용
근무지역
서울시 강남구 역삼로 542 4층 빅웨이브로보틱스
빅웨이브로보틱스
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/336105,"• 기구설계 및 자동화 기계설계 관련 분야 실무 경력 3년 이상
• 3D CAD (SolidWorks, Inventor, Catia 등) 및 2D 도면 활용
• 모터, 감속기, 센서 등 구동계 부품 선정 및 제어 메커니즘에 대한 깊은 이해를 보유하신 분
• 다양한 가공 공법(CNC, 사출, 판금, 다이캐스팅)에 대한 이해와 감리 경험이 풍부하신 분
상세 정보 더 보기
태그
커피·스낵바
자기계발지원
건강검진지원
유망산업
50명이하
설립4~9년
스톡옵션
연봉 업계평균이상
인원 급성장
AI 선도 기업
누적투자100억이상
자유로운휴가
퓨처플레이 투자기업
유연근무
마감일
상시채용
근무지역
서울특별시 성동구 성수일로10길 12, 성수CF타워 7층
엑스와이지
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/292180,"• 유관 경력 5년차 이상 (박사 졸업 예정자 지원 가능)
• 컴퓨터비젼, 로보틱스, 또는 기계학습과 관련된 전공의 석사/박사 학위 이상 혹은 동등한 경력
• 컴퓨터비젼 및 기계학습에 대한 이론 및 실무 지식
• 뛰어난 프로그래밍 기술(C/C++, Python 등)
상세 정보 더 보기
태그
유망산업
식대지원
건강검진지원
커피·스낵바
장비지원
자기계발지원
301~1,000명
설립4~9년
연봉상위2~5%
인원 급성장
원티드 픽
적극 채용 중
AI 선도 기업
누적투자100억이상
모빌리티산업
대규모 채용 중
보너스
대출지원
마감일
상시채용
근무지역
경기 성남시 수정구 창업로40번길 20, A동 42dot
포티투닷(42dot)
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/263710,"• 기구/기계의 설계 및 제작 경험이 있으신 분
• BOM 작성 경험이 있으신 분
• 3D 설계 툴 사용하시는 분
• OEM 양산 경험이 있으신 분
상세 정보 더 보기
태그
유망산업
커피·스낵바
장비지원
50명이하
설립3년이하
보너스
마감일
상시채용
근무지역
경기 화성시 동탄첨단산업1로 14
네토그린
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/340380,"• 학력 : 4년제 대학 학사 이상
• 전공 : 기계, 전기/전자, 통신 등 로봇, 메카트로닉스, 기구개발 관련 분야 전공자
• 경력 : 관련 분야 5년이상의 경력
• 다양한 로보틱스 관련 프로젝트 진행 이력 보유자
• SolidWorks, NX 등 3D CAD 툴 사용이 가능한 분
• 다양한 기구요소의 메커니즘을 이해하고 설계에 적용이 가능한 분
• 실제 상용화 로봇 및 자동화 분야에 관심이 많으며, Robot/Mechatronics 설계 전반에 대한 이해를 바탕으로 효율적인 로봇 개발과 트러블 슈팅이 가능하신 분
• 매우 높은 수준의 문제 해결 역량 : 경험에서 나오는 직관과 높은 지능, 전략적 사고 능력을 바탕으로 문제를 정의하고, 올바른 방향의 가설 수립 후, Agile한 실행 통해 솔루션을 개발/검증 가능한 역량을 갖춘 분
상세 정보 더 보기
태그
50명이하
설립3년이하
인원 급성장
연봉 업계평균이상
장비지원
커피·스낵바
누적투자100억이상
유망산업
스톡옵션
유리한 지원 경쟁률
마감일
상시채용
근무지역
서울 강남구 봉은사로 230, 봉암빌딩 3층, 비욘드허니컴
비욘드허니컴
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/339285,"• 학력 : 학사 이상
• 경력 : 8년 이상
• 독립적인 설계 수행 능력
• 리스크 사전 인지 및 설계적 대응 능력
• 유관 부서(RA/QA/개발)와의 원활한 소통 능력
• 기계/메카트로닉스/기계설계, 전기/전자공학 전공
• 기계, 재료, 금속, 금형 등 관련 지식 보유자
• SolidWorks 및 3D CAD Tool 숙련자
• 개발 포트폴리오 제출 필수
상세 정보 더 보기
기술 스택 • 툴
Solidworks
태그
건강검진지원
사내동호회
자유로운휴가
커피·스낵바
자기계발지원
51~300명
인원 급성장
설립10년이상
연봉상위6~10%
복지포인트
누적투자100억이상
AI 선도 기업
유리한 지원 경쟁률
마감일
상시채용
근무지역
경기 성남시 분당구 황새울로258번길 37, 9층
씨어스테크놀로지
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/336648,"∙ 경력 : 5년이상 ~ 10년 이하
∙ 2D, 3D 설계 가능자 (CAD, Solidworks 등)
∙ 운전 가능자(면허 필수)
∙ 국외/국내 출장 가능자
∙ 우수한 커뮤니케이션 보유자
상세 정보 더 보기
태그
식대지원
유망산업
50명이하
설립4~9년
커피·스낵바
리프레시휴가
유급휴가
자유로운휴가
보너스
인원 급성장
워크샵
스톡옵션
연봉상위11~20%
적극 채용 중
AI 선도 기업
누적투자100억이상
대규모 채용 중
마감일
상시채용
근무지역
서울시 강남구 역삼로 542 4층 빅웨이브로보틱스
빅웨이브로보틱스
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/333549,"• 학사 졸업 후 개발 경력 4년 이상
• 관련 분야 대리급 이상
• 해외 출장에 결격 사유가 없는 분
상세 정보 더 보기
태그
유망산업
건강검진지원
휴가비
커피·스낵바
50명이하
설립3년이하
편의시설
자기계발지원
자율복장
유급휴가
인원 급성장
연봉상위11~20%
AI 선도 기업
보너스
누적투자100억이상
마감일
상시채용
근무지역
경기 군포시 공단로 117, 1층
클레로보틱스
전문, 과학기술
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/322345,"• 해외 여행에 있어 결격 사유가 없으신 분
• 새로운 것을 배우는데 거리낌이 없으신 분
• 리뷰 및 피드백에 거부감 없으신 분
상세 정보 더 보기
태그
보너스
커피·스낵바
건강검진지원
자기계발지원
마감일
상시채용
근무지역
서울 영등포구 선유서로31길 3, (주)미켈로로보틱스
미켈로로보틱스
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/328591,"• 로봇, 컴퓨터공학, 인공지능 등 관련 전공 학사 이상 또는 이에 준하는 경력 보유
• 5년 이상의 모션플래너 개발 혹은 소프트웨어 엔지니어링 및 C/C++ 업무 경험
• 업무에 몰입하여 팀의 목표에 기여하는 성과를 창출하며 동시에 개인의 성장을 도모할 수 있는 역량 보유
• 동료들과의 원활한 커뮤니케이션 역량 보유
상세 정보 더 보기
태그
복지포인트
보너스
단체보험
어린이돌봄
장비지원
커피·스낵바
대출지원
연봉상위2~5%
1,001~10,000명
설립10년이상
워크샵
적극 채용 중
AI 선도 기업
누적투자100억이상
대기업
대규모 채용 중
유망산업
마감일
상시채용
근무지역
서울시 송파구 위례성대로2 장은빌딩
우아한형제들(배달의민족)
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/343486,"• 학력: 고등학교 졸업 이상, 초대졸 우대
• 경력: 신입가능 / 무관 (단, 자동화 설비 또는 전기/기계 정비 경험자 우대)
• 기계/전기 관련 전공자 혹은 기초 지식이 있는 분
• 현장 설치 및 수리 업무에 흥미가 있는 분
• 몸을 쓰는 기술 업무에 익숙하거나 관심 있는 분
• 고객 응대가 가능하고, 친절하게 설명하는 것을 좋아하는 분
• 현장 대응력과 문제 해결력에 자신 있는 분
• 운전 가능하신 분
상세 정보 더 보기
태그
커피·스낵바
자기계발지원
유망산업
유급휴가
50명이하
설립4~9년
인원 급성장
건강검진지원
연봉 업계평균이상
누적투자100억이상
마감일
상시채용
근무지역
서울 성동구 상원1길 22 굿타워
에니아이(Aniai)
전문, 과학기술
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/234469,"다음 조건을 만족하시는 분을 찾고 있습니다.

• 4년제 대학 졸업 이상(기계공학 또는 유관 전공)
• 다음 분야 중 하나 이상의 설계 경험
모터 기반 동작 메커니즘 설계 / 소형 정밀 기구 설계 / 의료기기 기구 설계 / 로봇 메커니즘 설계
• 복잡한 문제를 논리적으로 해결할 수 있는 문제 해결 능력 보유자
• 새로운 기술과 분야를 빠르게 학습할 수 있는 학습 속도·적응력 보유자
• 유연한 사고와 협업 능력을 갖춘 분
상세 정보 더 보기
기술 스택 • 툴
설계
태그
출산휴가
자기계발지원
편의시설
육아휴직
보너스
50명이하
설립4~9년
인원 급성장
스톡옵션
연봉상위11~20%
누적투자100억이상
커피·스낵바
유연근무
마감일
상시채용
근무지역
서울 종로구 대학로 57, 14-15층
엔도로보틱스
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/341497,"• 프로젝트를 리딩해 보신 경험이 있으신 분(경력 3년 ~ 10년)
• 플랫폼 및 서비스 개선에 대한 아이디어 도출 및 인사이트 활용 경험이 있으신 분
상세 정보 더 보기
태그
연봉상위11~20%
51~300명
설립3년이하
인원 급성장
대규모 채용 중
AI 선도 기업
누적투자100억이상
마감일
상시채용
근무지역
서울 서초구 서초대로73길 7, 3층
나비프라
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/334859,"• 학력: 무관
• 전기·전자·기계·로봇공학 전반에 대한 이해
• 전자·기계 장비 조작 및 유지보수에 대한 기본 지식 보유자
• 해외 출장에 결격 사유가 없는 분
• 운전 가능자 (차량 제공)
상세 정보 더 보기
태그
유망산업
커피·스낵바
편의시설
자기계발지원
건강검진지원
사내동호회
50명이하
설립4~9년
인원 급성장
연봉상위11~20%
AI 선도 기업
누적투자100억이상
퓨처플레이 투자기업
마감일
상시채용
근무지역
서울특별시 종로구 대학로 60 동마루빌딩 2층
메디인테크
제조
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/322198,"• 기계ㆍ기구 설계 경력 10년 이상 (유관업무 경력만 인정)
• 총 부품 50~100여개 parts 개발 및 관리.운용 경험
• 양산 제품/부품 설계 및 제조/제작 프로세스 경험
• 3D CAD(UG/NX , Solidworks, CATIA, Pro-E/CREO 등)툴 활용 능숙
• 2D 도면 작성능력 (임가공, 금형부품도, 양산화 도면 등) 능숙
• 다양한 소재(금속, 플라스틱, 신소재 등) 및 제작/가공 방식에 대한 경험
• 설계 품질 검토 및 개선 고도화 경험
• 양산 이관 및 생산기술 문서 작성
• 제품생산, 양산 F/U
상세 정보 더 보기
태그
커피·스낵바
건강검진지원
자율복장
유망산업
편의시설
51~300명
설립4~9년
연봉상위2~5%
복지포인트
자유로운휴가
누적투자100억이상
마감일
상시채용
근무지역
서울시 송파구 정의로8길 9 AJ빌딩 본관 3층
니어스랩
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/311938,"• Foreign applicants are welcome (must reside in Korea)
• Fluent in English recommended
• Bachelor’s, Master’s, or PhD in Mechatronics, Electrical, Mechanical, Aerospace, or related engineering discipline
• 5+ years of experience in cross-functional hardware development (mechanical, electrical, and embedded systems)
• Hands-on experience building custom drones, FPV rigs, VTOLs, or UAV subsystems
• Proficiency in Altium Designer and embedded C/C++ development
• Experience with CAD tools for mechanical design and integration
• Strong understanding of embedded systems, microcontrollers, sensors, actuators, and power systems
• Experience with flight controller platforms (e.g., PX4, Pixhawk) and common communication protocols (SPI, I2C, UART, CAN, Ethernet)
• Hands-on experience with prototyping, debugging, and testing integrated hardware systems

• 외국인 지원 가능 (단, 국내 거주 필수)
• 영어 비즈니스 회화 수준
• 전자/기계/항공/메카트로닉스 관련 전공 학사 이상
• 관련 경력 5년 이상 (전기·기계·임베디드 시스템 크로스 펑셔널 개발 경험)
• Altium Designer 및 임베디드 C/C++ 개발 숙련
• CAD 툴 기반 기계 설계 및 통합 경험
• 마이크로컨트롤러, 센서, 액추에이터, 전력 시스템 이해
• 플라이트 컨트롤러 플랫폼(PX4, Pixhawk 등) 및 SPI, I2C, UART, CAN, Ethernet 등 프로토콜 경험
• 프로토타이핑, 디버깅, 통합 하드웨어 시스템 테스트 경험
상세 정보 더 보기
태그
스톡옵션
AI 선도 기업
대규모 채용 중
누적투자100억이상
재택근무
마감일
상시채용
근무지역
서울 서초구 나루터로 59, 4층
카이트다이나믹스
전문, 과학기술
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/328567,"• 로봇, 제어, 기계, 컴퓨터공학 등 관련 전공 학사 이상 또는 이에 준하는 경력 보유
• 5년 이상의 로봇 제어 시스템 개발 혹은 소프트웨어 엔지니어링 및 C/C++ 업무 경험
• 선형 제어 이론 및 시스템 모델링에 대한 이해
• 업무에 몰입하여 팀의 목표에 기여하는 성과를 창출하며 동시에 개인의 성장을 도모할 수 있는 역량 보유
• 동료들과의 원활한 커뮤니케이션 역량 보유
상세 정보 더 보기
태그
복지포인트
보너스
단체보험
어린이돌봄
장비지원
커피·스낵바
대출지원
연봉상위2~5%
1,001~10,000명
설립10년이상
워크샵
적극 채용 중
AI 선도 기업
누적투자100억이상
대기업
대규모 채용 중
유망산업
마감일
상시채용
근무지역
서울시 송파구 위례성대로2 장은빌딩
우아한형제들(배달의민족)
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/326645,"-Siemens Process Simulate 실무 경험 2년 이상
-산업용 로봇 프로그래밍 및 동작 원리에 대한 이해
-생산 공정 및 자동화 라인에 대한 기본 이해
상세 정보 더 보기
태그
식대지원
적극 채용 중
퓨처플레이 투자기업
마감일
상시채용
근무지역
서울 강남구 테헤란로26길 14, 4-103
로아이
IT, 컨텐츠
팔로우"
합격보상금 100만원,https://www.wanted.co.kr/wd/256489,"[ 이런 분과 함께 하고 싶어요! ]

· 로봇공학, 기계공학 또는 유관 전공 학사 학위 이상 소지자(졸업예정자 지원 가능)
· SolidWorks 또는 유사한 3D CAD 툴 사용 가능자
· 협업 및 커뮤니케이션 능력
· 새로운 도전을 즐기고, 조직 문화를 함께 만들어 갈 분
· 스스로 동기부여를 잘하시는 분
상세 정보 더 보기
태그
커피·스낵바
유망산업
50명이하
설립3년이하
인원 급성장
퇴사율5%이하
유급휴가
자유로운휴가
건강검진지원
아기 유니콘
식대지원
마감일
상시채용
근무지역
인천광역시 연수구 송도과학로16번길 13-39, 12층
에이블랩스
제조
팔로우"
